Num_Acc,dep,cluster_kmeans,cluster_bisecting,cluster_gmm
202400000702,75,2,2,2
202400000703,77,2,2,2
202400000704,75,0,1,3
202400000705,77,2,2,2
202400000706,76,2,2,2
202400000707,75,2,2,2
202400000708,74,2,2,2
202400000709,71,2,2,2
202400000710,75,2,2,2
202400000711,67,2,2,2
202400000712,75,2,2,2
202400000713,67,2,2,1
202400000714,75,2,2,2
202400000715,67,2,0,2
202400000716,75,2,2,2
202400000717,66,2,2,2
202400000718,75,2,2,2
202400000719,94,1,3,4
202400000720,59,2,0,4
202400000721,59,2,2,2
202400000722,94,2,2,2
202400000723,94,2,2,2
202400000724,59,1,3,2
202400000725,94,0,0,3
202400000726,59,2,2,2
202400000727,56,0,1,0
202400000728,94,2,0,4
202400000729,56,2,2,2
202400000730,93,2,2,2
202400000731,56,2,0,2
202400000732,93,2,0,4
202400000733,51,2,2,2
202400000734,93,2,0,4
202400000735,51,2,2,2
202400000736,93,2,0,4
202400000737,50,2,2,2
202400000738,93,2,0,1
202400000739,49,2,2,2
202400000740,93,0,1,3
202400000741,47,2,0,4
202400000742,93,2,2,2
202400000743,93,2,2,2
202400000744,44,2,2,2
202400000745,37,2,2,2
202400000746,93,2,0,4
202400000747,37,2,2,2
202400000748,93,2,2,2
202400000749,36,0,1,3
202400000750,92,2,0,4
202400000751,35,1,4,4
202400000752,92,2,2,2
202400000753,33,2,2,2
202400000754,92,2,0,4
202400000755,33,2,2,2
202400000756,92,0,0,3
202400000757,33,2,2,2
202400000758,92,2,0,4
202400000759,31,2,2,2
202400000760,60,2,0,2
202400000761,31,0,1,3
202400000762,34,1,3,4
202400000763,02,4,4,4
202400000764,27,2,2,2
202400000765,25,1,3,4
202400000766,06,0,0,4
202400000767,25,2,2,2
202400000768,974,1,3,4
202400000769,25,2,2,2
202400000770,62,2,0,2
202400000771,19,2,2,2
202400000772,25,2,0,2
202400000773,76,2,0,2
202400000774,22,2,2,2
202400000775,82,3,3,3
202400000776,21,0,1,4
202400000777,82,1,3,4
202400000778,69,1,3,4
202400000779,19,2,2,2
202400000780,32,1,3,4
202400000781,17,2,0,4
202400000782,12,2,0,4
202400000783,17,2,2,2
202400000784,14,2,2,2
202400000785,46,1,3,4
202400000786,13,2,2,2
202400000787,47,1,3,4
202400000788,13,2,2,2
202400000789,47,2,0,4
202400000790,13,2,2,2
202400000791,13,2,2,2
202400000792,86,0,0,0
202400000793,34,1,3,4
202400000794,13,2,2,2
202400000795,13,2,2,2
202400000796,39,2,0,2
202400000797,11,2,2,2
202400000798,38,2,2,2
202400000799,11,2,2,2
202400000800,05,2,2,2
202400000801,11,1,3,4
202400000802,64,2,0,4
202400000803,10,2,2,2
202400000804,10,2,2,2
202400000805,06,2,2,2
202400000806,07,3,3,3
202400000807,02,2,2,2
202400000808,24,3,3,3
202400000809,01,2,0,4
202400000810,04,3,3,4
202400000811,75,2,2,2
202400000812,75,2,2,2
202400000813,17,3,3,3
202400000814,75,0,1,0
202400000815,75,0,1,0
202400000816,48,1,3,4
202400000817,75,2,2,2
202400000818,06,1,3,4
202400000819,75,2,2,2
202400000820,60,4,4,4
202400000821,75,2,2,2
202400000822,974,2,2,2
202400000823,75,2,2,2
202400000824,971,0,1,0
202400000825,75,2,2,2
202400000826,34,1,3,4
202400000827,34,2,0,4
202400000828,75,2,2,2
202400000829,83,2,2,2
202400000830,54,3,3,4
202400000831,75,0,1,3
202400000832,03,1,3,4
202400000833,75,2,2,2
202400000834,63,1,3,4
202400000835,94,0,0,3
202400000836,38,2,0,2
202400000837,94,2,2,2
202400000838,07,2,0,4
202400000839,94,2,0,2
202400000840,69,2,2,2
202400000841,94,2,0,2
202400000842,81,1,3,2
202400000843,79,1,3,4
202400000844,94,2,0,4
202400000845,40,3,3,3
202400000846,33,1,3,2
202400000847,94,2,0,2
202400000848,33,1,0,1
202400000849,33,2,2,2
202400000850,49,2,0,4
202400000851,14,2,0,4
202400000852,56,3,3,4
202400000853,22,1,3,4
202400000854,13,1,3,4
202400000855,69,4,4,4
202400000856,33,1,3,4
202400000857,33,1,4,4
